28/07/2018 18:44:22
Results for 100 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.Crazy,103150 (9%),83650,7000,11642,451,397,10,37,26,10
2nd,sample.Tracker,94866 (8%),63500,1800,25309,3877,356,23,9,11,10
3rd,sample.VelociRobot,79357 (7%),63800,1000,12633,533,1369,22,7,8,10
4th,sample.SpinBot,78058 (7%),57450,800,18515,1083,180,30,4,5,8
5th,sample.MyFirstJuniorRobot,73806 (6%),58500,2400,12031,693,172,10,12,4,4
6th,sample.Fire,68496 (6%),54450,600,12649,777,20,0,3,4,6
7th,sample.PaintingRobot,64242 (6%),54900,1000,8080,204,58,0,5,4,5
8th,sample.MyFirstRobot,64038 (5%),54400,1000,8196,368,74,0,5,9,9
9th,sampleex.Alien,59928 (5%),51950,600,7019,278,82,0,4,7,11
10th,sampleex.AlienComposition,59761 (5%),52100,400,6942,266,53,0,3,5,7
11th,sample.Walls,55447 (5%),45950,0,9080,326,91,0,0,2,5
12th,sampleex.ProxyOfGreyEminence,52750 (5%),48400,0,4195,81,68,5,0,4,2
13th,sample.RamFire,52089 (4%),31850,0,13692,266,4472,1810,0,2,1
14th,sampleex.MasterAndSlave,50227 (4%),45300,1000,3767,103,56,0,5,4,1
15th,sample.TrackFire,48085 (4%),29400,200,16803,1682,0,0,1,2,0
16th,sample.Corners,46431 (4%),38200,1200,6540,485,6,0,6,1,6
17th,sample.Target,34540 (3%),34500,0,0,0,40,0,0,1,2
18th,sample.Interactive_v2,29800 (3%),29600,200,0,0,0,0,1,0,0
19th,sample.SittingDuck,29450 (3%),29250,200,0,0,0,0,1,0,1
20th,sample.Interactive,23350 (2%),23350,0,0,0,0,0,0,0,0
21st,samplesentry.BorderGuard,0 (0%),0,0,20741,3166,719,326,0,0,0
$
